CustomerID,PersonID,StoreID,TerritoryID,AccountNumber,BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion
29484,291,292,5,AW00029484,291,SC,0,Mr.,Gustavo,NULL,Achong,NULL,2
29485,293,294,4,AW00029485,293,SC,0,Ms.,Catherine,R.,Abel,NULL,1
29486,295,296,3,AW00029486,295,SC,0,Ms.,Kim,NULL,Abercrombie,NULL,0
29487,297,298,2,AW00029487,297,SC,0,Sr.,Humberto,NULL,Acevedo,NULL,2
29488,299,300,9,AW00029488,299,SC,0,Sra.,Pilar,NULL,Ackerman,NULL,0
29489,301,302,4,AW00029489,301,SC,0,Ms.,Frances,B.,Adams,NULL,1
29490,303,304,1,AW00029490,303,SC,0,Ms.,Margaret,J.,Smith,NULL,0
29491,305,306,5,AW00029491,305,SC,0,Ms.,Carla,J.,Adams,NULL,0
29492,307,308,3,AW00029492,307,SC,0,Mr.,Jay,NULL,Adams,NULL,1
29493,309,310,5,AW00029493,309,SC,0,Mr.,Ronald,L.,Adina,NULL,0
29494,311,312,6,AW00029494,311,SC,0,Mr.,Samuel,N.,Agcaoili,NULL,0
29495,313,314,8,AW00029495,313,SC,0,Mr.,James,T.,Aguilar,Jr.,1
29496,315,316,4,AW00029496,315,SC,0,Mr.,Robert,E.,Ahlering,NULL,0
29497,317,318,1,AW00029497,317,SC,0,Mr.,François,NULL,Ferrier,NULL,1
29498,319,320,2,AW00029498,319,SC,0,Ms.,Kim,NULL,Akers,NULL,2
29499,323,324,6,AW00029499,323,SC,0,Ms.,Amy,E.,Alberts,NULL,1
29500,325,326,5,AW00029500,325,SC,0,Ms.,Anna,A.,Albright,NULL,1
29501,327,328,2,AW00029501,327,SC,0,Mr.,Milton,J.,Albury,NULL,0
29502,329,330,1,AW00029502,329,SC,0,Mr.,Paul,L.,Alcorn,NULL,1
29503,331,332,6,AW00029503,331,SC,0,Mr.,Gregory,F.,Alderson,NULL,0
29504,333,334,5,AW00029504,333,SC,0,Mr.,J. Phillip,L.,Alexander,NULL,1
29505,335,336,1,AW00029505,335,SC,0,Ms.,Michelle,NULL,Alexander,NULL,2
29506,337,338,4,AW00029506,337,SC,0,Mr.,Sean,P.,Jacobson,NULL,2
29507,339,340,5,AW00029507,339,SC,0,Ms.,Phyllis,A.,Allen,NULL,1
29508,341,342,4,AW00029508,341,SC,0,Mr.,Marvin,N.,Allen,NULL,0
29509,343,344,2,AW00029509,343,SC,0,Mr.,Michael,NULL,Allen,NULL,2
29510,345,346,6,AW00029510,345,SC,0,Mr.,Cecil,J.,Allison,NULL,0
29511,347,348,3,AW00029511,347,SC,0,Mr.,Oscar,L.,Alpuerto,NULL,1
29512,349,350,9,AW00029512,349,SC,0,Ms.,Sandra,J.,Altamirano,NULL,0
29513,351,352,5,AW00029513,351,SC,0,Ms.,Selena,R.,Alvarado,NULL,0
