SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
43659,8,00:00.0,00:00.0,00:00.0,5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,20565.6206,1971.5149,616.0984,23153.2339,NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,00:00.0
43660,8,00:00.0,00:00.0,00:00.0,5,0,SO43660,PO18850127500,10-4020-000117,29672,279,5,921,921,5,5618,115213Vi29411,NULL,1294.2529,124.2483,38.8276,1457.3288,NULL,738DC42D-D03B-48A1-9822-F95A67EA7389,00:00.0
43661,8,00:00.0,00:00.0,00:00.0,5,0,SO43661,PO18473189620,10-4020-000442,29734,282,6,517,517,5,1346,85274Vi6854,4,32726.4786,3153.7696,985.553,36865.8012,NULL,D91B9131-18A4-4A11-BC3A-90B6F53E9D74,00:00.0
43662,8,00:00.0,00:00.0,00:00.0,5,0,SO43662,PO18444174044,10-4020-000227,29994,282,6,482,482,5,10456,125295Vi53935,4,28832.5289,2775.1646,867.2389,32474.9324,NULL,4A1ECFC0-CC3A-4740-B028-1C50BB48711C,00:00.0
43663,8,00:00.0,00:00.0,00:00.0,5,0,SO43663,PO18009186470,10-4020-000510,29565,276,4,1073,1073,5,4322,45303Vi22691,NULL,419.4589,40.2681,12.5838,472.3108,NULL,9B1E7A40-6AE0-4AD3-811C-A64951857C4B,00:00.0
43664,8,00:00.0,00:00.0,00:00.0,5,0,SO43664,PO16617121983,10-4020-000397,29898,280,1,876,876,5,806,95555Vi4081,NULL,24432.6088,2344.9921,732.81,27510.4109,NULL,22A8A5DA-8C22-42AD-9241-839489B6EF0D,00:00.0
43665,8,00:00.0,00:00.0,00:00.0,5,0,SO43665,PO16588191572,10-4020-000146,29580,283,1,849,849,5,15232,35568Vi78804,NULL,14352.7713,1375.9427,429.9821,16158.6961,NULL,5602C304-853C-43D7-9E79-76E320D476CF,00:00.0
43666,8,00:00.0,00:00.0,00:00.0,5,0,SO43666,PO16008173883,10-4020-000511,30052,276,4,1074,1074,5,13349,105623Vi69217,NULL,5056.4896,486.3747,151.9921,5694.8564,NULL,E2A90057-1366-4487-8A7E-8085845FF770,00:00.0
43667,8,00:00.0,00:00.0,00:00.0,5,0,SO43667,PO15428132599,10-4020-000646,29974,277,3,629,629,5,10370,55680Vi53503,NULL,6107.082,586.1203,183.1626,6876.3649,NULL,86D5237D-432D-4B21-8ABC-671942F5789D,00:00.0
43668,8,00:00.0,00:00.0,00:00.0,5,0,SO43668,PO14732180295,10-4020-000514,29614,282,6,529,529,5,1566,85817Vi8045,4,35944.1562,3461.7654,1081.8017,40487.7233,NULL,281CC355-D538-494E-9B44-461B36A826C6,00:00.0
43669,8,00:00.0,00:00.0,00:00.0,5,0,SO43669,PO14123169936,10-4020-000578,29747,283,1,895,895,5,15538,25877Vi80261,NULL,714.7043,70.5175,22.0367,807.2585,NULL,FABFC5C2-E034-4E0E-A573-6F39E9FA0484,00:00.0
43670,8,00:00.0,00:00.0,00:00.0,5,0,SO43670,PO14384116310,10-4020-000504,29566,275,3,810,810,5,18017,105888Vi93490,NULL,6122.082,587.5603,183.6126,6893.2549,NULL,573E52A7-573F-40B6-B695-6F3D242E0C6D,00:00.0
43671,8,00:00.0,00:00.0,00:00.0,5,0,SO43671,PO13978119376,10-4020-000200,29890,283,1,855,855,5,13693,25904Vi70960,NULL,8128.7876,780.8136,244.0042,9153.6054,NULL,005FDA9D-62E1-4001-A4AC-A976A7905F94,00:00.0
43672,8,00:00.0,00:00.0,00:00.0,5,0,SO43672,PO13862153537,10-4020-000119,30067,282,6,464,464,5,3980,95915Vi20982,4,6124.182,587.6023,183.6257,6895.41,NULL,194202AA-8E15-4932-A2C4-7A7AC0713639,00:00.0
43673,8,00:00.0,00:00.0,00:00.0,5,0,SO43673,PO13775141242,10-4020-000618,29844,275,2,821,821,5,1417,35931Vi7271,NULL,3746.2015,357.9614,111.8629,4216.0258,NULL,C5CD3AE9-41F5-4B71-A3F1-D550B928572B,00:00.0
43674,8,00:00.0,00:00.0,00:00.0,5,0,SO43674,PO12760141756,10-4020-000083,29596,282,6,458,458,5,19204,26081Vi99806,4,2624.382,251.9407,78.7315,2955.0542,NULL,CE8BCA02-F705-4AAE-A446-5D8B660C3A1B,00:00.0
43675,8,00:00.0,00:00.0,00:00.0,5,0,SO43675,PO12412186464,10-4020-000670,29827,277,3,631,631,5,11886,126121Vi61402,NULL,5716.3102,546.8759,170.8987,6434.0848,NULL,9F2CF0EE-F2B8-44D4-897D-7641F4FBD649,00:00.0
43676,8,00:00.0,00:00.0,00:00.0,5,0,SO43676,PO11861165059,10-4020-000017,29811,275,5,755,755,5,18153,36168Vi94127,NULL,14203.458,1363.266,426.0206,15992.7446,NULL,28C73732-D2FD-4F0D-A9A8-0E53595235F6,00:00.0
43677,8,00:00.0,00:00.0,00:00.0,5,0,SO43677,PO11049174786,10-4020-000679,29824,278,6,556,556,5,14030,16302Vi72763,4,7793.1108,747.1011,233.4691,8773.681,NULL,95FAAF28-6495-40B0-9789-466B195F2F96,00:00.0
43678,8,00:00.0,00:00.0,00:00.0,5,0,SO43678,PO10817150168,10-4020-000203,29889,281,4,1021,1021,5,5093,66363Vi26658,NULL,9799.9243,942.074,294.3981,11036.3964,NULL,7F4B7542-638E-41CA-98D0-93018FE4DF77,00:00.0
43679,8,00:00.0,00:00.0,00:00.0,5,0,SO43679,PO10527142759,10-4020-000480,29761,278,6,525,525,5,5439,126365Vi28482,4,1316.0575,125.8032,39.3135,1481.1742,NULL,17D42D83-177D-4C7E-9C86-D2DB69326E04,00:00.0
43680,8,00:00.0,00:00.0,00:00.0,5,0,SO43680,PO10730130087,10-4020-000491,29489,281,4,1069,1069,5,6653,126370Vi34642,NULL,11397.4992,1093.6394,341.7623,12832.9009,NULL,9CBE5E7A-12D2-4DD4-B50C-1FFB4021C6E1,00:00.0
43681,8,00:00.0,00:00.0,00:00.0,5,0,SO43681,PO1189177803,10-4020-000423,29661,279,5,955,955,5,5301,16608Vi27707,NULL,13787.5434,1323.0668,413.4584,15524.0686,NULL,C82FC32F-7E10-40D2-8A9F-3D932DB42CD4,00:00.0
43682,8,00:00.0,00:00.0,00:00.0,5,0,SO43682,PO1566124200,10-4020-000486,29759,275,2,808,808,5,76,96712Vi373,NULL,3875.7229,371.8002,116.1876,4363.7107,NULL,CDC225D3-B639-4217-A7A4-3DED506FCEBE,00:00.0
43683,8,00:00.0,00:00.0,00:00.0,5,0,SO43683,PO2552113807,10-4020-000506,29497,283,1,889,889,5,13045,76866Vi67506,NULL,42813.4333,4107.1489,1283.484,48204.0662,NULL,F6E2ABB3-6FF8-49A6-9506-0B051A4618A0,00:00.0
43684,8,00:00.0,00:00.0,00:00.0,5,0,SO43684,PO3393188842,10-4020-000549,29912,279,5,971,971,5,267,37982Vi1394,NULL,5596.4705,537.2612,167.8941,6301.6258,NULL,3A2EFBA3-34E6-4CB5-B983-CB755AEA05DA,00:00.0
43685,8,00:00.0,00:00.0,00:00.0,5,0,SO43685,PO4176124783,10-4020-000458,30084,279,5,958,958,5,2519,108058Vi13146,NULL,2736.5678,263.201,82.2503,3082.0191,NULL,C8098FE4-2910-4BD3-9251-E9AEA7C7D118,00:00.0
43686,8,00:00.0,00:00.0,00:00.0,5,0,SO43686,PO5075125561,10-4020-000344,29606,283,1,871,871,5,14612,48152Vi75759,NULL,3463.2998,332.4768,103.899,3899.6756,NULL,65EF22D9-1AD7-40F4-A984-B7F074B7A6CF,00:00.0
43687,8,00:00.0,00:00.0,00:00.0,5,0,SO43687,PO4959110829,10-4020-000269,29610,275,2,783,783,5,3235,128163Vi17021,NULL,1258.3767,120.8042,37.7513,1416.9322,NULL,D04C9A8A-85B4-48F5-8ACE-D864D7EB94C7,00:00.0
43688,8,00:00.0,00:00.0,00:00.0,5,0,SO43688,PO5365136389,10-4020-000161,29718,275,2,771,771,5,12399,88200Vi64099,NULL,12718.0844,1222.8838,382.1512,14323.1194,NULL,596DEE2A-ABCB-46D0-95B9-E5AFF8C6C1F8,00:00.0
43689,8,00:00.0,00:00.0,00:00.0,5,0,SO43689,PO5626159507,10-4020-000166,29646,277,4,578,578,5,13054,98228Vi67566,NULL,33997.3702,3271.4942,1022.3419,38291.2063,NULL,D5628C44-BD37-4337-9412-3407C824DF71,00:00.0
43690,8,00:00.0,00:00.0,00:00.0,5,0,SO43690,PO6235146326,10-4020-000431,29533,275,3,801,801,5,2337,28321Vi12181,NULL,1297.5901,124.2027,38.8133,1460.6061,NULL,68942478-3091-49D6-AA0F-C3A0AA4D49D0,00:00.0
43691,8,00:00.0,00:00.0,00:00.0,5,0,SO43691,PO6409111675,10-4020-000292,29570,277,4,592,592,5,242,28360Vi1235,NULL,874.794,83.9802,26.2438,985.018,NULL,2EB93130-1226-4E8B-A2FD-1AD8D951D103,00:00.0
43692,8,00:00.0,00:00.0,00:00.0,5,0,SO43692,PO7859187017,10-4020-000221,29992,281,4,1024,1024,5,7176,108529Vi37251,NULL,38510.8973,3696.3979,1155.1244,43362.4196,NULL,EDB9E3F0-0B76-4DBC-934E-9DABFBA01EE5,00:00.0
43693,8,00:00.0,00:00.0,00:00.0,5,0,SO43693,PO8120182325,10-4020-000485,29491,275,5,807,807,5,8937,128548Vi46064,NULL,20541.4072,1969.5564,615.4864,23126.45,NULL,49C3D13D-464F-49D0-B21A-A2C07145EC62,00:00.0
43694,8,00:00.0,00:00.0,00:00.0,5,0,SO43694,PO9657130250,10-4020-000315,29549,279,5,943,943,5,7083,118748Vi36747,NULL,20645.634,1978.3257,618.2268,23242.1865,NULL,CEAAA999-7157-449D-8665-142793421294,00:00.0
43695,8,00:00.0,00:00.0,00:00.0,5,0,SO43695,PO10179176559,10-4020-000027,29958,279,5,911,911,5,10163,128786Vi52413,NULL,39373.781,3787.4632,1183.5823,44344.8265,NULL,F5FB98A9-A866-42CE-ADD8-6879231ED1A2,00:00.0
43696,8,00:00.0,00:00.0,00:00.0,5,0,SO43696,PO9947131800,10-4020-000603,29849,279,5,977,977,5,1402,98787Vi7192,NULL,419.4589,40.2681,12.5838,472.3108,NULL,7C3E3B6D-E76E-470B-A75E-B20C25F86760,00:00.0
43697,8,00:00.0,00:00.0,00:00.0,5,1,SO43697,NULL,10-4030-021768,21768,NULL,6,23148,23148,1,4319,530200Vi22686,4,3578.27,286.2616,89.4568,3953.9884,NULL,BC58017D-0735-4E0E-8930-292290C37ABD,00:00.0
43698,8,00:00.0,00:00.0,00:00.0,5,1,SO43698,NULL,10-4030-028389,28389,NULL,7,24593,24593,1,16625,1231736Vi86048,8,3399.99,271.9992,84.9998,3756.989,NULL,0AE8A848-41D9-4E5E-8FE8-5CD23F14421E,00:00.0
43699,8,00:00.0,00:00.0,00:00.0,5,1,SO43699,NULL,10-4030-025863,25863,NULL,1,19613,19613,1,5796,333376Vi30244,NULL,3399.99,271.9992,84.9998,3756.989,NULL,99B348BD-7700-4D3E-A531-4540C875A2BD,00:00.0
43700,8,00:00.0,00:00.0,00:00.0,5,1,SO43700,NULL,10-4030-014501,14501,NULL,4,20278,20278,1,12860,733791Vi66509,NULL,699.0982,55.9279,17.4775,772.5036,NULL,5509A5B0-A6F3-4209-9728-148FB2D15D59,00:00.0
43701,8,00:00.0,00:00.0,00:00.0,5,1,SO43701,NULL,10-4030-011003,11003,NULL,9,20425,20425,1,11150,335093Vi57504,2,3399.99,271.9992,84.9998,3756.989,NULL,4B3A130D-02AE-47AA-A91E-726B39440613,00:00.0
43702,8,00:00.0,00:00.0,00:00.0,5,1,SO43702,NULL,10-4030-027645,27645,NULL,4,22584,22584,1,8087,1230194Vi41919,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,9310C7F0-9A84-4CE9-BE08-F700FB1AADF7,00:00.0
43703,8,00:00.0,00:00.0,00:00.0,5,1,SO43703,NULL,10-4030-016624,16624,NULL,9,23967,23967,1,9497,1234632Vi48985,15,3578.27,286.2616,89.4568,3953.9884,NULL,CC630723-57F1-4E59-B1EF-BF77930B3906,00:00.0
43704,8,00:00.0,00:00.0,00:00.0,5,1,SO43704,NULL,10-4030-011005,11005,NULL,9,16025,16025,1,1988,835095Vi10342,15,3374.99,269.9992,84.3748,3729.364,NULL,B09AF2D1-243D-444F-9784-FCFCEB3FBB0A,00:00.0
43705,8,00:00.0,00:00.0,00:00.0,5,1,SO43705,NULL,10-4030-011011,11011,NULL,9,27345,27345,1,7205,1035101Vi37381,15,3399.99,271.9992,84.9998,3756.989,NULL,17A0EDE6-6F1A-419D-BCF9-3638B79166D0,00:00.0
43706,8,00:00.0,00:00.0,00:00.0,5,1,SO43706,NULL,10-4030-027621,27621,NULL,4,13264,13264,1,10912,230189Vi56258,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,F02C4CB6-A5B5-4CE4-9473-CB084E383196,00:00.0
43707,8,00:00.0,00:00.0,00:00.0,5,1,SO43707,NULL,10-4030-027616,27616,NULL,4,20923,20923,1,19069,230298Vi99064,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,0DA77D6E-223E-4BC6-A2ED-43B387692C68,00:00.0
43708,8,00:00.0,00:00.0,00:00.0,5,1,SO43708,NULL,10-4030-020042,20042,NULL,10,18427,18427,1,4369,130402Vi22912,35,699.0982,55.9279,17.4775,772.5036,NULL,C9743A57-08A7-4494-A4BF-4B226C0B35EC,00:00.0
43709,8,00:00.0,00:00.0,00:00.0,5,1,SO43709,NULL,10-4030-016351,16351,NULL,9,13951,13951,1,15524,1034602Vi80214,28,3578.27,286.2616,89.4568,3953.9884,NULL,5AA25D99-4CA5-4C80-BBB7-3D97664E2A80,00:00.0
43710,8,00:00.0,00:00.0,00:00.0,5,1,SO43710,NULL,10-4030-016517,16517,NULL,9,25446,25446,1,5764,1134614Vi30135,28,3578.27,286.2616,89.4568,3953.9884,NULL,22220985-4182-4C6F-AE48-E920F72F6095,00:00.0
